GENDER,CATEGORY,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,HEIGHT INCH,HEIGHT CM,WAIST IN,WAIST CM,INSEAM INCH,INSEAM CM,SIZE
MEN,T&F,2091A451_003,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/ABL,2091A449_003,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/BWH,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A451_002,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/FC,2091A449_003,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/BWH,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A445_404,ｶｽﾀﾑ ｼﾞﾔｹﾂﾄ,ｽﾄｰﾑﾌﾞﾙｰﾓｸ,2091A446_001,ｶｽﾀﾑ ﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A445_001,ｶｽﾀﾑ ｼﾞﾔｹﾂﾄ,Pﾌﾞﾗﾂｸﾓｸ,2091A446_001,2,Pﾌﾞﾗﾂｸ,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A446_001,ｶｽﾀﾑ ﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,2091A445_001,ｶｽﾀﾑ ｼﾞﾔｹﾂﾄ,Pﾌﾞﾗﾂｸﾓｸ,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A443_700,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾌﾗﾂｼﾕｺｰﾗﾙ,2091A444_001,ﾆﾂﾄﾄﾗﾝｸｽ,Pﾌﾞﾗﾂｸ,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A443_001,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,2091A444_001,ﾆﾂﾄﾄﾗﾝｸｽ,Pﾌﾞﾗﾂｸ,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A444_001,ﾆﾂﾄﾄﾗﾝｸｽ,Pﾌﾞﾗﾂｸ,2091A443_001,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A450_600,ﾌﾟﾘﾝﾄ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｸﾗｼﾂｸﾚﾂﾄﾞ,2091A448_002,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/FC,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A516_001,ﾌﾟﾘﾝﾄ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/FC,2091A448_002,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/FC,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A447_700,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾌﾗﾂｼﾕｺｰﾗﾙ,2091A448_002,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/FC,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A448_002,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/FC,2091A447_700,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ﾌﾗﾂｼﾕｺｰﾗﾙ,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A449_002,ﾌﾟﾘﾝﾄ ｼﾖｰﾄｽﾘｰﾌﾞﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ/FC,2091A451_002,ﾌﾟﾘﾝﾄ ﾐﾄﾞﾙﾀｲﾂ,Pﾌﾞﾗﾂｸ/FC,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A441_700,TRACK ELITE SSﾄﾂﾌﾟ,Fｺｰﾗﾙﾓｸ,2091A442_001,TRACK ELITE ｱｲｺﾝｼﾖｰﾂ,Pﾌﾞﾗﾂｸ,3093A079_700,Socks,Orange,1013A098_100,SORTIEMAGIC RP 6,WHITE/RED,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A441_403,TRACK ELITE SSﾄﾂﾌﾟ,ﾓﾅｺﾌﾞﾙｰﾓｸ,2091A442_001,TRACK ELITE ｱｲｺﾝｼﾖｰﾂ,Pﾌﾞﾗﾂｸ,3093A079_402,Socks,Blue,1093A087_402,SORTIEMAGIC RP 6,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
