PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1012A911-023,Female,Standard,,ANA_1012A911-023,ANA_1012A910-022,
ANA_1011B189-005,Male,Standard,,ANA_1011B189-005,ANA_1011B188-021,ANA_1011B191-005
ANA_1012B282-001,Female,Standard,,ANA_1012B282-001,ANA_1012B196-020,
ANA_1012B047-002,Female,Standard,ANA_1012B048-003,ANA_1012B047-002,ANA_1012B046-021,
ANA_1012B046-702,Female,Wide,ANA_1012B048-003,ANA_1012B047-702,ANA_1012B046-702,
ANA_1011B366-001,Male,Standard,,ANA_1011B366-001,ANA_1011B365-020,ANA_1011B367-020
ANA_1011A983-401,Male,Standard,,ANA_1011A983-401,ANA_1011A984-002,ANA_1011A987-020
ANA_1011B185-400,Male,Standard,,ANA_1011B185-400,ANA_1011B186-021,ANA_1011B184-002
ANA_1012B047-701,Female,Standard,ANA_1012B048-003,ANA_1012B047-701,ANA_1012B046-021,
ANA_1042A072-404,Female,Standard,,ANA_1042A072-404,ANA_1042A097-406,
ANA_1011B366-021,Male,Standard,,ANA_1011B366-003,ANA_1011B365-020,ANA_1011B367-020
ANA_1011B040-001,Male,Standard,,ANA_1011B040-001,,ANA_1011B392-020
ANA_1011B040-020,Male,Standard,,ANA_1011B040-020,,ANA_1011B039-020
ANA_1011B034-300,Male,Standard,,ANA_1011B034-300,ANA_1011B389-020,ANA_1011B041-002
ANA_1011A833-003,Male,Extra Wide,,ANA_1011A767-003,ANA_1011A835-001,ANA_1011A833-003
ANA_1012A562-001,Female,Standard,,ANA_1012A562-001,ANA_1012A561-022,
ANA_1012A859-400,Female,Standard,ANA_1012A863-400,ANA_1012A859-023,ANA_1012A862-002,
ANA_1012A859-400,Female,Standard,ANA_1012A863-400,ANA_1012A859-023,ANA_1012A861-400,
ANA_1041A079-100,Male,Standard,,ANA_1041A079-405,ANA_1041A113-404,
ANA_1012A878-408,Female,Standard,,ANA_1012A878-408,ANA_1012A879-408,
ANA_1012B045-401,Female,Standard,ANA_1012B042-020,ANA_1012B045-401,ANA_1012B044-002,
ANA_1012B045-401,Female,Standard,ANA_1012B042-020,ANA_1012B045-401,ANA_1012B043-402,
ANA_1012A911-302,Female,Standard,,ANA_1012A911-302,ANA_1012A910-022,
ANA_1011A983-002,Male,Standard,,ANA_1011A983-002,ANA_1011A984-002,ANA_1011A987-002
ANA_1011B366-100,Male,Standard,,ANA_1011B366-003,ANA_1011B365-020,ANA_1011B367-020
ANA_1011B188-402,Male,Wide,,ANA_1011B189-402,ANA_1011B188-402,ANA_1011B191-005
ANA_1011B005-002,Male,Extra Wide,,ANA_1011B004-002,ANA_1011B006-002,ANA_1011B005-002
ANA_1011B191-001,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1012B046-020,Female,Wide,ANA_1012B048-003,ANA_1012B047-020,ANA_1012B046-020,
ANA_1012A916-002,Female,Standard,,ANA_1012B085-101,ANA_1012A915-002,
ANA_1012A570-400,Female,Standard,,ANA_1012A570-400,ANA_1012A571-400,
ANA_1012A878-407,Female,Standard,,ANA_1012A878-407,ANA_1012A879-407,
